ProductID,ProductName,Year,Month,NumTransactions,TotalDemandQty
1,Adjustable Race,2011,4,1,3
1,Adjustable Race,2012,2,1,3
1,Adjustable Race,2012,5,1,3
1,Adjustable Race,2012,9,1,3
1,Adjustable Race,2013,4,1,3
1,Adjustable Race,2013,6,1,3
1,Adjustable Race,2013,8,4,12
1,Adjustable Race,2013,9,3,9
1,Adjustable Race,2013,10,2,6
1,Adjustable Race,2013,11,2,6
1,Adjustable Race,2013,12,4,12
1,Adjustable Race,2014,1,3,9
1,Adjustable Race,2014,2,4,12
1,Adjustable Race,2014,3,4,12
1,Adjustable Race,2014,4,4,12
1,Adjustable Race,2014,5,5,12
1,Adjustable Race,2014,6,4,12
1,Adjustable Race,2014,7,6,18
2,Bearing Ball,2012,2,1,3
2,Bearing Ball,2012,5,1,3
2,Bearing Ball,2012,9,1,3
2,Bearing Ball,2013,4,1,3
2,Bearing Ball,2013,6,1,3
2,Bearing Ball,2013,8,4,9
2,Bearing Ball,2013,9,3,9
2,Bearing Ball,2013,10,2,6
2,Bearing Ball,2013,11,2,6
2,Bearing Ball,2013,12,4,12
2,Bearing Ball,2014,1,3,9
2,Bearing Ball,2014,2,4,12
2,Bearing Ball,2014,3,4,12
2,Bearing Ball,2014,4,4,12
2,Bearing Ball,2014,5,5,15
2,Bearing Ball,2014,6,4,12
2,Bearing Ball,2014,7,6,18
4,Headset Ball Bearings,2011,4,1,1
4,Headset Ball Bearings,2012,2,1,3
4,Headset Ball Bearings,2012,5,1,3
4,Headset Ball Bearings,2012,9,1,3
4,Headset Ball Bearings,2013,4,1,3
4,Headset Ball Bearings,2013,6,1,3
4,Headset Ball Bearings,2013,8,4,12
4,Headset Ball Bearings,2013,9,3,9
4,Headset Ball Bearings,2013,10,2,6
4,Headset Ball Bearings,2013,11,2,6
4,Headset Ball Bearings,2013,12,4,12
4,Headset Ball Bearings,2014,1,3,9
4,Headset Ball Bearings,2014,2,4,12
4,Headset Ball Bearings,2014,3,4,12
4,Headset Ball Bearings,2014,4,4,12
4,Headset Ball Bearings,2014,5,5,15
4,Headset Ball Bearings,2014,6,4,12
4,Headset Ball Bearings,2014,7,6,18
317,LL Crankarm,2011,4,1,550
317,LL Crankarm,2012,2,2,1018
317,LL Crankarm,2012,5,2,550
317,LL Crankarm,2012,9,1,0
317,LL Crankarm,2013,4,1,468
317,LL Crankarm,2013,6,1,468
317,LL Crankarm,2013,8,7,3850
317,LL Crankarm,2013,9,3,1568
317,LL Crankarm,2013,10,3,1486
317,LL Crankarm,2013,11,3,1568
317,LL Crankarm,2013,12,8,4318
317,LL Crankarm,2014,1,5,2118
317,LL Crankarm,2014,2,5,2586
317,LL Crankarm,2014,3,8,4236
317,LL Crankarm,2014,4,5,2036
317,LL Crankarm,2014,5,8,4318
317,LL Crankarm,2014,6,7,3686
317,LL Crankarm,2014,7,10,5336
318,ML Crankarm,2011,4,1,550
318,ML Crankarm,2012,2,2,1073
318,ML Crankarm,2012,5,2,523
318,ML Crankarm,2012,9,1,0
318,ML Crankarm,2013,4,1,550
318,ML Crankarm,2013,6,1,550
318,ML Crankarm,2013,8,7,3740
318,ML Crankarm,2013,9,3,1595
318,ML Crankarm,2013,10,3,1650
318,ML Crankarm,2013,11,3,1595
318,ML Crankarm,2013,12,8,4345
318,ML Crankarm,2014,1,5,2146
318,ML Crankarm,2014,2,5,2640
318,ML Crankarm,2014,3,8,4373
318,ML Crankarm,2014,4,5,2173
318,ML Crankarm,2014,5,8,4290
318,ML Crankarm,2014,6,7,3796
318,ML Crankarm,2014,7,10,5390
319,HL Crankarm,2011,4,1,550
319,HL Crankarm,2012,2,3,1650
319,HL Crankarm,2012,5,2,1018
319,HL Crankarm,2012,8,2,1100
319,HL Crankarm,2013,4,2,550
319,HL Crankarm,2013,5,1,550
319,HL Crankarm,2013,6,1,550
319,HL Crankarm,2013,8,13,6850
319,HL Crankarm,2013,9,5,2750
319,HL Crankarm,2013,10,4,2200
319,HL Crankarm,2013,11,6,3218
319,HL Crankarm,2013,12,12,6600
319,HL Crankarm,2014,1,7,3768
319,HL Crankarm,2014,2,10,5418
319,HL Crankarm,2014,3,12,6600
319,HL Crankarm,2014,4,8,4318
319,HL Crankarm,2014,5,14,7618
319,HL Crankarm,2014,6,10,5418
319,HL Crankarm,2014,7,17,9268
320,Chainring Bolts,2011,12,2,6
320,Chainring Bolts,2012,1,1,3
320,Chainring Bolts,2012,2,2,6
320,Chainring Bolts,2012,4,1,3
320,Chainring Bolts,2012,5,1,3
320,Chainring Bolts,2012,8,1,3
320,Chainring Bolts,2012,9,2,6
320,Chainring Bolts,2013,4,3,9
320,Chainring Bolts,2013,5,1,3
320,Chainring Bolts,2013,7,2,6
320,Chainring Bolts,2013,8,12,33
320,Chainring Bolts,2013,9,7,21
320,Chainring Bolts,2013,10,3,9
320,Chainring Bolts,2013,11,7,21
320,Chainring Bolts,2013,12,8,24
320,Chainring Bolts,2014,1,7,21
320,Chainring Bolts,2014,2,11,33
320,Chainring Bolts,2014,3,8,24
320,Chainring Bolts,2014,4,11,33
320,Chainring Bolts,2014,5,10,30
320,Chainring Bolts,2014,6,11,33
320,Chainring Bolts,2014,7,14,42
321,Chainring Nut,2011,12,2,6
321,Chainring Nut,2012,1,1,3
321,Chainring Nut,2012,2,2,6
321,Chainring Nut,2012,4,1,3
321,Chainring Nut,2012,5,1,3
321,Chainring Nut,2012,8,1,3
321,Chainring Nut,2012,9,2,6
321,Chainring Nut,2013,4,3,9
321,Chainring Nut,2013,5,1,3
321,Chainring Nut,2013,7,2,6
321,Chainring Nut,2013,8,12,33
321,Chainring Nut,2013,9,7,21
321,Chainring Nut,2013,10,3,9
321,Chainring Nut,2013,11,7,21
321,Chainring Nut,2013,12,8,24
321,Chainring Nut,2014,1,7,21
321,Chainring Nut,2014,2,11,33
321,Chainring Nut,2014,3,8,24
321,Chainring Nut,2014,4,11,33
321,Chainring Nut,2014,5,10,30
321,Chainring Nut,2014,6,11,33
321,Chainring Nut,2014,7,14,42
322,Chainring,2011,12,2,120
322,Chainring,2012,1,1,57
322,Chainring,2012,2,1,60
322,Chainring,2012,4,1,60
322,Chainring,2012,5,2,120
322,Chainring,2012,8,1,60
322,Chainring,2012,9,2,120
322,Chainring,2013,4,3,180
322,Chainring,2013,5,1,60
322,Chainring,2013,7,2,120
322,Chainring,2013,8,11,660
322,Chainring,2013,9,8,480
322,Chainring,2013,10,2,111
322,Chainring,2013,11,7,411
322,Chainring,2013,12,8,480
322,Chainring,2014,1,8,480
322,Chainring,2014,2,11,660
322,Chainring,2014,3,7,420
322,Chainring,2014,4,12,720
322,Chainring,2014,5,8,480
322,Chainring,2014,6,13,780
322,Chainring,2014,7,13,780
323,Crown Race,2011,12,1,3
323,Crown Race,2012,2,1,3
323,Crown Race,2012,6,1,0
323,Crown Race,2012,9,1,3
323,Crown Race,2013,4,1,3
323,Crown Race,2013,7,1,3
323,Crown Race,2013,8,4,12
323,Crown Race,2013,9,3,9
323,Crown Race,2013,10,1,3
